appid,name,price,currency,genres,release_date,steam_review_score,release_year
233110,Defense Technica,24.99,BRL,"Indie, Strategy",2013-10-24,63,2013
233130,Shadow Warrior,8.89,BRL,"Action, Adventure",2013-09-26,73,2013
233150,LUFTRAUSERS,32.99,BRL,"Action, Indie, Simulation",2014-03-18,80,2014
233190,Final Exam,17.9,BRL,"Action, Indie",2013-11-05,66,2013
233210,Air Conflicts: Vietnam,28.99,BRL,"Action, Simulation",2013-10-02,43,2013
233230,Kairo,16.99,BRL,"Adventure, Indie",2013-04-24,76,2013
233270,Far Cry 3 - Blood Dragon,44.99,BRL,"Action, Adventure",2013-05-01,81,2013
233290,Murdered: Soul Suspect,55.99,BRL,"Action, Adventure, RPG",2014-06-05,59,2014
233310,Avadon 2: The Corruption,13.19,BRL,"Indie, RPG, Strategy",2013-10-30,82,2013
233450,Prison Architect,107.99,BRL,"Indie, Simulation, Strategy",2015-10-06,83,2015
233470,Evoland,4.99,BRL,"Adventure, Indie, RPG",2013-04-04,61,2013
233490,Sacred Citadel Demo,0.0,,Action,2013-04-20,61,2013
233610,Distance,47.49,BRL,"Action, Indie, Racing",2018-09-18,74,2018
233700,Sword of the Stars: The Pit,32.99,BRL,"Casual, Indie, RPG, Strategy",2013-02-21,69,2013
233710,Sword of the Stars: The Pit Demo,0.0,,"Casual, Indie, RPG, Strategy",2013-03-10,69,2013
233720,Surgeon Simulator,6.59,BRL,"Action, Indie, Simulation",2013-04-19,71,2013
233840,Worms Clan Wars,133.9,BRL,Strategy,2013-08-15,73,2013
233860,Kenshi,57.99,BRL,"Action, Indie, RPG, Simulation, Strategy",2018-12-06,75,2018
233980,UnEpic,25.99,BRL,"Action, Indie, RPG",2014-07-25,68,2014
234000,Superfrog HD,0.0,,Action,2013-09-12,56,2013
234140,Mad Max,89.99,BRL,"Action, Adventure",2015-09-01,73,2015
234160,Strike Suit Infinity,14.99,BRL,"Action, Indie",2013-04-30,66,2013
234270,Ken Follett's The Pillars of the Earth,59.99,BRL,"Adventure, Casual, Indie",2017-08-15,78,2017
234370,Shattered Haven,8.24,BRL,"Action, Adventure, Indie",2013-03-18,60,2013
234390,Teleglitch: Die More Edition,46.99,BRL,"Action, Indie",2013-07-24,78,2013
234510,Rising Storm Game of the Year Edition,34.99,BRL,Action,2013-05-30,82,2013
234650,Shadowrun Returns,53.99,BRL,"Adventure, Indie, RPG, Strategy",2013-07-25,76,2013
234670,NARUTO SHIPPUDEN: Ultimate Ninja STORM 3 Full Burst HD,39.95,BRL,"Action, Adventure",2013-10-24,80,2013
234710,Poker Night 2,0.0,,"Casual, Sports",2013-04-26,75,2013
234920,Dyscourse,46.99,BRL,"Adventure, Casual, Indie, Simulation",2015-03-25,71,2015
235070,Bad Bots,10.89,BRL,"Action, Indie",2013-05-17,49,2013
235210,STRIDER™ / ストライダー飛竜®,20.1,BRL,"Action, Adventure",2014-02-19,78,2014
236390,War Thunder,0.0,,"Action, Massively Multiplayer, Simulation, Free To Play",2013-08-15,81,2013
237630,DuckTales: Remastered,4.99,CAD,"Action, Adventure, Casual",2013-08-13,66,2013
239030,"Papers, Please",12.99,CAD,"Adventure, Indie",2013-08-08,85,2013
239070,Hammerwatch,66.0,HKD,"Action, Adventure, Indie, RPG",2013-08-12,72,2013
239090,Samurai GUNN,33.0,HKD,"Action, Indie",2013-12-10,78,2013
239120,Final Fantasy III (3D Remake),54.0,HKD,RPG,2014-05-27,68,2014
239200,Amnesia: A Machine for Pigs,19.5,EUR,"Action, Adventure, Indie",2013-09-10,72,2013
239350,Spelunky,99.0,HKD,Indie,2013-08-08,90,2013
241369,Expansion - Europa Universalis IV: Conquest of Paradise,12.79,GBP,"Simulation, Strategy",2014-01-14,81,2014
242550,Rayman® Legends,205000.0,IDR,"Action, Adventure",2013-08-29,89,2013
242760,The Forest,16.79,EUR,"Action, Adventure, Indie, Simulation",2018-04-30,83,2018
243470,Watch_Dogs™,229000.0,IDR,"Action, Adventure",2014-05-26,77,2014
244050,Rise of Flight United,0.0,,"Simulation, Free To Play",2013-09-05,77,2013
244810,Foul Play,99.0,HKD,"Action, Adventure, Casual, Indie",2013-09-18,69,2013
244910,Homesick,99.0,HKD,"Adventure, Indie",2015-05-28,72,2015
244950,Where is my Heart?,59.0,HKD,"Adventure, Casual, Indie",2014-05-29,74,2014
245170,Skullgirls 2nd Encore,109.0,HKD,"Action, Indie",2013-08-22,83,2013
245280,ENSLAVED™: Odyssey to the West™ Premium Edition,153.0,HKD,"Action, Adventure",2013-10-24,70,2013
245370,Etherium,69.0,HKD,Strategy,2015-03-25,62,2015
245490,Trials Fusion™,205000.0,IDR,Racing,2014-04-24,80,2014
249130,LEGO® Marvel™ Super Heroes,36.99,BRL,"Action, Adventure",2013-10-22,78,2013
249150,Beatbuddy: Tale of the Guardians Demo,0.0,,"Action, Adventure, Casual, Indie",2013-08-19,75,2013
249230,Risen 3 - Titan Lords,6.99,BRL,RPG,2014-08-13,65,2014
249570,The Castle Doctrine,8.69,BRL,"Indie, Massively Multiplayer, Strategy",2014-01-29,58,2014
249590,Teslagrad,39.99,BRL,Indie,2013-12-13,77,2013
249650,Blackguards,19.99,BRL,"Action, Adventure, Indie, RPG, Strategy",2014-01-22,68,2014
249870,Scribblenauts Unmasked: A DC Comics Adventure,89.99,BRL,"Action, Adventure, Casual, Strategy",2013-09-24,68,2013
250030,Lilly Looking Through,16.99,BRL,"Adventure, Indie",2013-11-01,71,2013
250110,Assault Android Cactus+,37.99,BRL,"Action, Indie",2015-09-23,79,2015
250260,Jazzpunk: Director's Cut,27.99,BRL,"Adventure, Indie",2014-02-07,75,2014
250320,The Wolf Among Us,14.99,EUR,"Action, Adventure, Casual",2013-10-11,85,2013
250380,Knock-knock,19.99,BRL,"Adventure, Casual",2013-10-04,57,2013
250400,How to Survive,6.99,BRL,"Action, Adventure, RPG",2014-08-29,60,2014
250520,UnderRail,46.99,BRL,"Indie, RPG",2015-12-18,72,2015
250560,Fight The Dragon,19.99,BRL,"Indie, RPG",2014-12-04,76,2014
250620,Among the Sleep - Enhanced Edition,32.99,BRL,"Action, Adventure, Indie",2014-05-29,66,2014
250640,[Old Edition] Croixleur Sigma,0.0,,"Action, Casual, Indie",2014-04-30,56,2014
250680,BELOW,47.49,BRL,"Action, Adventure, Indie, RPG",2018-12-14,67,2018
250700,Super Time Force Ultra,27.99,BRL,"Action, Indie",2014-08-25,80,2014
250760,Shovel Knight: Treasure Trove,75.49,BRL,"Action, Adventure, Indie",2014-06-26,85,2014
250790,BeatBlasters III Demo,0.0,,Indie,2013-08-28,56,2013
250870,Pro Evolution Soccer 2014,0.0,,Sports,2013-11-12,74,2013
251060,Wargame: Red Dragon,149.49,BRL,"Indie, Simulation, Strategy",2014-04-17,78,2014
251130,Chroma Squad,46.99,BRL,"Indie, RPG, Strategy",2015-04-30,75,2015
251150,The Legend of Heroes: Trails in the Sky,21.99,CAD,RPG,2014-07-29,85,2014
251230,Livelock,20.69,BRL,"Action, Adventure, Indie",2016-08-30,73,2016
251270,Corpse Party,27.99,BRL,"Adventure, Indie, RPG",2016-04-25,71,2016
251290,The Legend of Heroes: Trails in the Sky SC,34.99,CAD,RPG,2015-10-29,80,2015
251430,The Inner World,46.99,BRL,"Adventure, Indie",2013-09-27,72,2013
251470,TowerFall Ascension,46.99,BRL,"Action, Indie",2014-03-11,87,2014
251490,Gravity Ghost,32.99,BRL,Indie,2015-01-26,75,2015
251510,Constant C,19.99,BRL,"Action, Casual, Indie",2014-03-11,60,2014
251630,The Impossible Game,6.49,BRL,Indie,2014-05-08,64,2014
251690,Speedball 2 HD,32.99,BRL,"Action, Indie, Sports",2013-12-05,53,2013
251830,Stick it to The Man!,16.59,BRL,"Action, Adventure, Indie",2013-12-13,83,2013
251850,Master Reboot,28.99,BRL,"Action, Adventure, Indie",2013-10-29,59,2013
251950,WWII Online,0.0,,"Action, Casual, Indie, Massively Multiplayer, RPG, Simulation, Strategy, Free To Play",2023-07-06,73,2023
251990,Long Live The Queen,25.99,BRL,"Indie, RPG, Simulation, Strategy",2013-11-08,67,2013
252030,Valdis Story: Abyssal City,27.99,BRL,"Action, Indie, RPG",2013-10-30,83,2013
252110,Lovers in a Dangerous Spacetime,27.99,BRL,"Action, Indie, Simulation",2015-09-09,80,2015
252130,Divide By Sheep,16.99,BRL,"Adventure, Casual, Indie",2015-07-02,83,2015
252310,Syder Arcade,19.99,BRL,"Action, Indie",2013-10-24,76,2013
252330,Slender: The Arrival,59.99,BRL,"Action, Adventure, Indie",2013-10-28,65,2013
252410,SteamWorld Dig,20.69,BRL,"Action, Adventure, Indie",2013-12-05,76,2013
252490,Rust,119.99,BRL,"Action, Adventure, Indie, Massively Multiplayer, RPG",2018-02-08,69,2018
252550,Qbeh-1: The Atlas Cube,20.69,BRL,"Adventure, Casual, Indie",2014-05-15,72,2014
252630,Eldritch,24.99,BRL,"Action, Adventure, Indie, RPG",2013-10-21,77,2013
252670,Nihilumbra,15.99,BRL,"Adventure, Casual, Indie",2013-10-25,75,2013
252710,The Last Express Gold Edition,23.5,BRL,Adventure,2013-11-21,82,2013
252750,MouseCraft,7.5,BRL,"Action, Adventure, Casual, Indie, Strategy",2014-07-08,72,2014
252950,Rocket League®,0.0,,"Action, Indie, Racing, Sports",2015-07-06,86,2015
253030,Race The Sun,32.99,BRL,"Action, Indie, Racing",2013-12-09,79,2013
253110,The Cat Lady,29.99,BRL,"Adventure, Indie",2013-12-04,81,2013
253230,A Hat in Time,88.99,BRL,"Adventure, Indie",2017-10-05,79,2017
253290,FOTONICA,46.99,BRL,"Action, Indie",2014-11-06,71,2014
253310,Fester Mudd: Curse of the Gold - Episode 1,16.99,BRL,Adventure,2013-11-04,76,2013
253330,Neverending Nightmares,27.99,BRL,"Action, Adventure, Indie",2014-09-26,68,2014
253390,Hot Tin Roof: The Cat That Wore A Fedora,46.99,BRL,"Action, Adventure, Indie, RPG",2015-02-20,66,2015
253610,Wrack,19.99,BRL,"Action, Indie",2014-09-30,66,2014
253690,Tiny Brains,4.13,BRL,"Action, Adventure, Casual, Indie",2013-12-11,63,2013
253750,Ikaruga,16.99,BRL,"Action, Indie",2014-02-18,84,2014
253790,rymdkapsel,26.49,BRL,"Indie, Strategy",2014-01-30,77,2014
253840,Shantae: Half-Genie Hero,36.99,BRL,"Action, Adventure, Indie",2016-12-20,76,2016
253880,Earth 2150 Trilogy,32.99,BRL,Strategy,2013-11-01,78,2013
253940,Septerra Core,26.49,BRL,RPG,2013-09-27,70,2013
253980,Enclave,32.99,BRL,"Action, RPG",2013-10-04,71,2013
256460,Cosmic Star Heroine,16.99,CAD,"Indie, RPG",2017-04-11,77,2017
264710,Subnautica,39.99,CAD,"Adventure, Indie",2018-01-23,87,2018
265590,The Red Solstice,2.06,BRL,Strategy,2015-07-09,74,2015
265690,NaissanceE,0.0,,"Adventure, Indie",2014-02-13,66,2014
265830,Monochroma,36.99,BRL,"Action, Adventure, Indie",2014-05-28,55,2014
265930,Goat Simulator,37.19,BRL,"Casual, Indie, Simulation",2014-04-01,62,2014
265950,Ether One,55.99,BRL,"Adventure, Indie",2014-03-25,82,2014
265970,Worlds of Magic,1.74,BRL,"RPG, Strategy",2015-03-19,52,2015
266110,Tower of Guns,41.0,BRL,"Action, Indie",2014-03-04,76,2014
266170,Windforge,19.99,BRL,"Action, Indie, RPG",2014-03-11,53,2014
266410,iRacing,32.99,BRL,"Massively Multiplayer, Racing, Simulation, Sports",2015-01-12,79,2015
266510,Hand of Fate,19.99,CAD,"Action, Indie, RPG",2015-02-17,78,2015
266840,Age of Mythology: Extended Edition,55.99,BRL,"Simulation, Strategy",2014-05-08,66,2014
267220,Line Of Defense Tactics - Tactical Advantage,19.99,BRL,"Action, Casual, Indie, RPG, Strategy",2014-03-17,47,2014
267980,Hostile Waters: Antaeus Rising,10.49,BRL,Strategy,2014-01-30,80,2014
268030,Battle Worlds: Kronos Demo,0.0,,Strategy,2013-12-10,71,2013
268050,The Evil Within,49.99,BRL,Action,2014-10-13,68,2014
268130,Heat Signature,27.99,BRL,"Action, Adventure, Indie, Strategy",2017-09-21,79,2017
268400,Panzer Corps Gold,88.99,BRL,Strategy,2014-03-12,80,2014
268500,XCOM® 2,99.9,BRL,Strategy,2016-02-04,88,2016
270880,American Truck Simulator,19.99,EUR,"Indie, Simulation",2016-02-02,76,2016
275850,No Man's Sky,58.99,EUR,"Action, Adventure",2016-08-12,61,2016
279620,Expansion - Europa Universalis IV: Wealth of Nations,13.99,CAD,"Simulation, Strategy",2014-05-29,84,2014
279623,Expansion - Europa Universalis IV: Res Publica,6.99,CAD,"Simulation, Strategy",2014-07-16,79,2014
281410,UberSoldier II,29.99,BRL,"Action, Adventure",2014-03-25,62,2014
281580,Wings Over Europe,29.99,BRL,Simulation,2014-05-30,62,2014
281610,Homeworld: Deserts of Kharak,9.09,BRL,Strategy,2016-01-20,79,2016
281640,The Banner Saga 2,46.25,BRL,"Indie, RPG, Strategy",2016-04-19,82,2016
281750,Munin,16.99,BRL,"Adventure, Casual, Indie",2014-06-10,68,2014
281840,4PM,6.29,BRL,Indie,2014-07-09,41,2014
281940,Woolfe - The Red Hood Diaries,32.99,BRL,"Action, Adventure, Indie",2015-03-17,55,2015
282070,This War of Mine,5.99,BRL,"Adventure, Indie, Simulation",2014-11-14,83,2014
282140,SOMA,88.99,BRL,"Action, Adventure, Indie",2015-09-21,84,2015
282210,Sid Meier's Starships,9.99,BRL,Strategy,2015-03-12,64,2015
282250,Line of Defense Tactics Demo,0.0,,"Action, Indie, RPG, Strategy",2014-02-26,47,2014
282270,Drox Operative Demo,0.0,,"Action, Indie, RPG",2014-02-26,74,2014
282560,RollerCoaster Tycoon World™,6.99,BRL,"Simulation, Strategy",2016-11-16,43,2016
282640,LOST ORBIT,23.99,BRL,"Action, Adventure, Indie",2015-05-12,72,2015
282900,Hyperdimension Neptunia Re;Birth1,28.99,BRL,"RPG, Strategy",2015-01-29,72,2015
283160,House of the Dying Sun,36.99,BRL,"Action, Indie, Simulation",2016-11-01,76,2016
283290,Nosferatu: The Wrath of Malachi,10.49,BRL,"Action, Adventure",2014-03-06,70,2014
283310,Soulbringer,10.49,BRL,RPG,2014-03-13,70,2014
283350,Eurofighter Typhoon,10.49,BRL,Action,2014-05-02,69,2014
283370,Marine Sharpshooter II: Jungle Warfare,10.49,BRL,Action,2014-04-03,52,2014
283390,Incoming + Incoming Forces,10.49,BRL,Action,2014-03-06,67,2014
283640,Salt and Sanctuary,33.99,BRL,"Action, Indie, RPG",2016-05-17,84,2016
283680,Astebreed: Definitive Edition,7.59,BRL,"Action, Indie",2014-05-30,86,2014
283811,Frozen Cortex - Soundtrack DLC,21.99,BRL,"Indie, Sports, Strategy",2015-06-08,79,2015
283812,Frozen Cortex - Mega Tier DLC,31.99,BRL,"Indie, Sports, Strategy",2015-06-08,79,2015
283813,Frozen Cortex - Ultimate Tier DLC,63.99,BRL,"Indie, Sports, Strategy",2015-06-08,79,2015
284140,Majestic Nights,10.49,BRL,"Action, Adventure, Indie, RPG",2014-10-30,32,2014
284390,The Last Door - Collector's Edition,19.99,BRL,"Adventure, Indie",2014-05-20,79,2014
284410,Cornerstone: The Song of Tyrim,36.99,BRL,"Action, Adventure, Indie",2016-04-26,58,2016
284460,DeadCore,34.99,BRL,"Action, Indie",2014-10-17,78,2014
287440,Ikaruga Demo,0.0,,"Action, Indie",2014-05-08,84,2014
287580,Pandora: First Contact,43.95,AUD,"Simulation, Strategy",2014-05-30,68,2014
287700,METAL GEAR SOLID V: THE PHANTOM PAIN,235999.0,IDR,"Action, Adventure",2015-09-01,91,2015
289070,Sid Meier’s Civilization® VI,710.0,KZT,Strategy,2016-10-20,88,2016
294100,RimWorld,31.99,EUR,"Indie, Simulation, Strategy",2018-10-17,87,2018
295490,Schrodinger’s Cat And The Raiders Of The Lost Quark,19.99,BRL,"Action, Adventure, Casual, Indie",2014-09-23,59,2014
295750,The Floor is Jelly,19.99,BRL,Indie,2014-05-30,83,2014
296070,MIND: Path to Thalamus Enhanced Edition,28.99,BRL,"Adventure, Indie, Strategy",2014-08-05,75,2014
296180,Iron Storm,6.29,BRL,"Action, Adventure, Indie",2014-05-08,69,2014
296210,Brigade E5: New Jagged Union,13.79,BRL,"Simulation, Strategy",2014-04-30,41,2014
296550,Niko: Through The Dream,19.99,BRL,"Adventure, Indie",2015-07-17,74,2015
296570,Lords of Xulima,36.99,BRL,RPG,2014-11-14,71,2014
296630,Kraven Manor,0.0,,"Action, Adventure, Free To Play, Indie",2014-09-26,58,2014
296830,Lucius II,36.99,BRL,"Action, Adventure, Indie, Simulation",2015-02-13,48,2015
296850,Al Emmo and the Lost Dutchman's Mine,29.99,BRL,"Adventure, Indie",2014-05-09,77,2014
297000,Heroes® of Might & Magic® III - HD Edition,44.99,BRL,"RPG, Strategy",2015-01-28,65,2015
297060,Freaking Meatbags,19.99,BRL,"Action, Indie, Strategy",2015-02-04,69,2015
297120,Heavy Bullets,6.59,BRL,"Action, Indie",2014-09-18,72,2014
297130,Titan Souls,46.99,BRL,"Action, Adventure, Indie",2015-04-14,74,2015
297350,The Old City: Leviathan,11.99,BRL,"Adventure, Indie",2014-12-03,62,2014
297570,Warrior Kings,5.99,BRL,Strategy,2014-04-24,73,2014
297620,Rocko's Quest,10.49,BRL,Action,2014-04-24,41,2014
297660,Super Rad Raygun,0.0,,"Action, Adventure, Indie",2016-11-08,64,2016
297720,Corpse of Discovery,4.49,BRL,"Adventure, Indie",2015-08-25,49,2015
297760,Qvadriga,59.99,BRL,"Racing, Simulation, Sports, Strategy",2014-06-13,72,2014
297860,Split/Second,59.99,BRL,"Action, Racing",2014-10-06,79,2014
298000,MotoGP 14 Demo,0.0,,"Racing, Sports",2014-07-16,76,2014
298030,Total Annihilation,10.49,BRL,Strategy,2015-12-18,86,2015
298050,Master of Orion,47.49,BRL,Strategy,2016-08-25,74,2016
298110,Far Cry® 4,46350.0,IDR,"Action, Adventure",2014-11-17,80,2014
298140,Rhiannon: Curse of the Four Branches,16.99,BRL,"Adventure, Indie",2014-05-15,67,2014
298260,Only If,0.0,,"Adventure, Indie, Free To Play",2014-07-25,39,2014
298520,Orbital Gear,0.0,,"Action, Indie, Simulation, Free To Play",2014-08-07,59,2014
298600,Lovely Planet,20.49,BRL,"Action, Indie",2014-07-31,61,2014
298630,The Escapists,9.19,BRL,"Action, Adventure, Indie, Simulation, Strategy",2015-02-13,71,2015
298900,Space Hulk: Deathwing,0.0,,"Action, Adventure",2016-12-14,58,2016
298920,Croixleur Sigma Demo,0.0,,"Action, Indie",2014-05-06,56,2014
299030,Blood: One Unit Whole Blood,0.0,,"Action, Adventure",2014-07-14,82,2014
299050,Blood II: The Chosen + Expansion,2.09,BRL,"Action, Adventure",2014-07-14,72,2014
299070,Warrior Kings: Battles,5.99,BRL,Strategy,2014-05-06,64,2014
299130,DreadOut Demo,0.0,,"Adventure, Indie",2014-05-06,55,2014
310490,Crookz - The Big Heist,39.0,BRL,"Simulation, Strategy",2015-08-25,74,2015
310510,Deathtrap,59.99,BRL,"Action, Adventure, Indie, RPG, Strategy",2015-02-04,77,2015
310740,NEON STRUCT,33.99,BRL,"Action, Indie",2015-05-20,62,2015
310880,Basketball Pro Management 2015,19.99,BRL,"Simulation, Sports, Strategy",2014-11-19,69,2014
310950,Street Fighter V,44.5,BRL,Action,2016-02-15,89,2016
311010,The Way,46.99,BRL,"Action, Adventure, Indie",2016-05-20,67,2016
311040,Rulers of Nations,36.99,BRL,Strategy,2014-07-16,63,2014
311080,Echelon,3.44,BRL,"Action, Simulation",2014-07-03,70,2014
311100,Echelon: Wind Warriors,13.79,BRL,"Action, Simulation",2014-08-08,63,2014
311210,Call of Duty®: Black Ops III,329.9,BRL,"Action, Adventure",2015-11-05,73,2015
311240,Zero Escape: Zero Time Dilemma,22.79,CAD,Adventure,2016-06-29,78,2016
311260,The Guild 3,13.99,BRL,"RPG, Simulation, Strategy",2022-06-14,65,2022
311340,METAL GEAR SOLID V: GROUND ZEROES,36.99,BRL,"Action, Adventure",2014-12-18,80,2014
311480,Vertical Drop Heroes HD,13.99,BRL,"Action, RPG",2014-07-25,70,2014
311560,Assassin’s Creed® Rogue,59.99,BRL,"Action, Adventure",2015-03-09,74,2015
311690,Enter the Gungeon,5.84,CAD,"Action, Adventure, Indie",2016-04-05,84,2016
311730,DEAD OR ALIVE 5 Last Round: Core Fighters,0.0,,Action,2015-03-30,69,2015
311950,Freedom Planet Demo,0.0,,"Action, Indie",2014-12-04,83,2014
312060,FINAL FANTASY XIV Online Free Trial,0.0,,"Massively Multiplayer, RPG",2014-11-05,83,2014
312200,Chasm,37.99,BRL,"Action, Adventure, Indie, RPG",2018-07-30,72,2018
312330,Meridian: New World Demo,0.0,,"Indie, Strategy",2014-07-02,43,2014
312360,To End All Wars,107.99,BRL,"Simulation, Strategy",2014-08-29,71,2014
312440,Legions of Steel,59.99,BRL,Strategy,2015-07-16,64,2015
312450,Order of Battle: World War II,0.0,,"Simulation, Strategy, Free To Play",2015-04-30,81,2015
312520,Rain World,73.99,BRL,"Action, Adventure, Indie",2017-03-28,66,2017
312530,Duck Game,25.99,BRL,"Action, Indie",2015-06-04,82,2015
312540,Ys VI: The Ark of Napishtim,22.99,CAD,"Action, Adventure, RPG",2015-04-28,76,2015
312560,Xanadu Next,28.99,BRL,"Action, RPG",2016-11-03,78,2016
312660,Sniper Elite 4,105.99,BRL,"Action, Adventure",2017-02-13,78,2017
312670,Strange Brigade,93.99,BRL,"Action, Adventure",2018-08-27,68,2018
312780,Way of the Samurai 4,45.99,BRL,"Action, Adventure",2015-07-23,72,2015
313010,Cities XXL,34.9,BRL,Simulation,2015-02-05,47,2015
313130,Metrocide,26.89,BRL,Indie,2014-12-15,68,2014
313160,Farming Simulator 15,26.89,BRL,Simulation,2014-10-30,64,2014
313290,Battleplan: American Civil War Demo,0.0,,"Casual, Simulation, Strategy",2014-07-07,66,2014
313500,Blitzkrieg 2 Anthology,10.49,BRL,Strategy,2014-09-16,75,2014
313630,The Solus Project,36.99,BRL,"Adventure, Indie, Simulation",2016-06-07,68,2016
313780,Conarium,59.99,BRL,"Adventure, Indie",2017-06-06,71,2017
313810,Legend of Kay Anniversary,9.24,BRL,"Action, Adventure, RPG",2015-07-27,64,2015
313870,A Vampyre Story,32.99,BRL,Adventure,2014-07-15,74,2014
316090,Bravada Demo,0.0,,"Indie, RPG, Strategy",2014-08-25,70,2014
321870,Silence of the Sleep,16.99,BRL,"Adventure, Indie",2014-10-01,66,2014
322080,Disorder,0.0,,"Action, Indie, Free To Play",2015-01-12,61,2015
322190,SteamWorld Heist,28.99,BRL,"RPG, Strategy",2016-06-07,81,2016
322210,"Guns, Gore & Cannoli",19.99,BRL,"Action, Indie",2015-04-30,80,2015
322330,Don't Starve Together,9.51,BRL,"Action, Adventure, Indie, RPG, Simulation, Strategy",2016-04-21,83,2016
322440,Red Goddess: Inner World,19.99,BRL,"Action, Adventure, Indie",2015-08-31,53,2015
322610,Sid Meier's Civilization: Beyond Earth Demo,0.0,,Strategy,2014-10-24,81,2014
322670,Majestic Nights Demo,0.0,,"Action, Adventure, Indie, RPG",2014-10-30,32,2014
322680,BLACKHOLE,29.99,BRL,"Action, Adventure, Indie",2015-02-27,82,2015
322750,Drifting Lands,10.89,BRL,"Action, Indie, RPG",2017-06-05,71,2017
322900,"War, the Game",13.99,BRL,"Indie, Strategy",2015-01-12,65,2015
322920,theHunter: Primal,0.0,,"Action, Adventure, Simulation",2015-03-31,49,2015
322970,Subject 13,19.99,BRL,"Adventure, Indie",2015-05-28,59,2015
323190,Frostpunk,8.89,BRL,"Simulation, Strategy",2018-04-24,84,2018
323320,Grow Home,5.99,BRL,"Adventure, Casual, Indie",2015-02-04,75,2015
323380,The Magic Circle,59.99,BRL,"Action, Adventure, Indie, Simulation, Strategy",2015-07-09,79,2015
323580,Jotun: Valhalla Edition,46.99,BRL,"Action, Adventure, Indie",2015-09-29,79,2015
323700,Poltergeist: A Pixelated Horror,32.99,BRL,"Casual, Indie",2014-10-20,70,2014
323720,Decay: The Mare,16.99,BRL,"Adventure, Indie",2015-02-13,60,2015
323850,Move or Die,27.99,BRL,"Action, Indie",2016-01-21,80,2016
324140,Kalimba,19.99,BRL,"Action, Casual",2015-04-22,81,2015
324160,CLANNAD,121.99,BRL,"Adventure, Casual",2015-11-23,83,2015
324650,Gemini: Heroes Reborn,6.49,BRL,"Action, Adventure",2016-01-18,54,2016
324680,Impossible Creatures Steam Edition,4.99,BRL,Strategy,2015-11-11,72,2015
324740,The Warlock of Firetop Mountain,59.99,BRL,"Action, Adventure, Indie",2016-08-30,70,2016
324800,Shadow Warrior 2,8.89,BRL,"Action, Adventure",2016-10-13,78,2016
325060,Parallax,10.89,BRL,Indie,2015-03-10,68,2015
330020,Children of Morta,4.34,CAD,"Action, Adventure, Indie, RPG",2019-09-03,82,2019
331690,Crossing Souls,19.49,CAD,"Action, Adventure, Indie",2018-02-13,70,2018
333110,Phantom Breaker: Battle Grounds - Kurisu Makise + Level 99 Pack,6.99,BRL,Action,2015-03-13,64,2015
333580,"Slow Down, Bull",4.29,BRL,"Action, Casual, Indie",2015-04-20,65,2015
333640,Caves of Qud,84.99,BRL,"Adventure, Indie, RPG, Strategy",2024-12-05,91,2024
333690,Epanalepsis,8.39,BRL,"Adventure, Indie",2015-05-21,48,2015
333930,Dirty Bomb®,0.0,,"Action, Free To Play",2015-06-02,63,2015
333970,A Druid's Duel,16.59,BRL,"Indie, Strategy",2015-02-25,70,2015
334070,Hektor,19.99,BRL,"Action, Adventure, Indie",2015-03-13,55,2015
334100,Extreme Exorcism,12.39,BRL,"Action, Adventure, Casual, Indie",2015-09-23,75,2015
334120,Armikrog,32.99,BRL,"Adventure, Indie",2015-09-30,57,2015
334140,Roche Fusion,12.4,BRL,"Action, Casual, Indie",2015-01-23,85,2015
334310,Plebby Quest: The Crusades,59.99,BRL,"Action, Adventure, Casual, Indie, RPG, Simulation, Strategy",2020-04-08,78,2020
334940,Yoku's Island Express,104.9,BRL,"Adventure, Indie",2018-05-29,84,2018
