appid,name,price,currency,genres,release_date,steam_review_score,release_year
335000,Tormentum - Dark Sorrow,23.99,BRL,"Adventure, Casual, Indie",2015-03-04,72,2015
335120,Serpent in the Staglands,27.89,BRL,"Adventure, RPG",2015-05-28,75,2015
335300,DARK SOULS™ II: Scholar of the First Sin,154.9,BRL,"Action, RPG",2015-04-01,79,2015
343710,Kholat,59.99,BRL,"Adventure, Indie",2015-06-09,64,2015
343860,Tacoma,59.99,BRL,"Adventure, Indie",2017-08-01,76,2017
344000,The Weaponographist Demo,0.0,,"Action, Indie, RPG",2015-04-20,58,2015
344030,Ghost Pirates of Vooju Island,32.99,BRL,"Adventure, Casual",2015-01-27,66,2015
344150,Sym Demo,0.0,,Indie,2015-02-11,61,2015
344410,Magnetic: Cage Closed,46.99,BRL,"Action, Adventure, Indie",2015-05-26,61,2015
344500,Three Fourths Home: Extended Edition,10.49,BRL,"Adventure, Indie",2015-03-20,77,2015
344740,CRYPTARK,27.99,BRL,"Action, Adventure, Indie, Strategy",2017-06-20,80,2017
344850,Big Pharma,73.99,BRL,"Indie, Simulation, Strategy",2015-08-27,72,2015
345180,Victor Vran ARPG,39.99,BRL,"Action, Adventure, Indie, RPG",2015-07-24,75,2015
345480,Lumo,10.49,BRL,"Adventure, Indie",2016-05-24,77,2016
346110,ARK: Survival Evolved,14.79,EUR,"Action, Adventure, Indie, Massively Multiplayer, RPG",2017-08-27,70,2017
350080,Wolfenstein: The Old Blood,49.99,BRL,Action,2015-05-04,76,2015
353540,Stephen's Sausage Roll,88.99,BRL,Indie,2016-04-17,90,2016
353580,Rad Rodgers: World One,0.0,,"Action, Adventure, Indie",2016-12-01,72,2016
353640,Train Valley,19.99,BRL,"Action, Adventure, Casual, Indie, Simulation, Strategy",2015-09-16,69,2015
353700,The Deadly Tower of Monsters,27.99,BRL,"Action, Adventure, Indie",2016-01-19,73,2016
353830,Sid Meier's Civilization: Beyond Earth - Rising Tide,19.75,BRL,Strategy,2015-10-08,79,2015
354140,Five Nights at Freddy's 3,16.59,BRL,"Action, Indie, Simulation",2015-03-02,68,2015
354160,WRC 5 FIA World Rally Championship,20.69,BRL,Racing,2015-10-08,65,2015
354180,Bunker - The Underground Game,8.69,BRL,"Adventure, Indie",2015-05-21,70,2015
354400,Tadpole Treble,10.49,BRL,"Action, Adventure, Indie",2016-09-02,90,2016
354740,Echoes of Aetheria,46.99,BRL,"Indie, RPG",2016-01-15,77,2016
355310,Blood Alloy: Reborn,26.89,BRL,"Action, Indie",2016-03-02,48,2016
355530,Last Word,32.99,BRL,"Adventure, Casual, Indie, RPG",2015-05-08,67,2015
355660,Ride: Game Demo,0.0,,"Racing, Simulation, Sports",2015-03-18,68,2015
355680,Overland,59.99,BRL,Strategy,2019-09-19,69,2019
355790,Styx: Shards of Darkness,54.9,BRL,"Action, Adventure",2017-03-14,72,2017
355800,Space Run Galaxy,34.9,BRL,"Indie, Strategy",2016-06-17,75,2016
356040,Sheltered,12.99,EUR,"Indie, RPG, Strategy",2016-03-15,62,2016
356180,Time Machine VR,55.99,BRL,"Adventure, Indie, Simulation",2016-05-19,58,2016
356210,Tony Tough and the Night of Roasted Moths,19.99,BRL,"Adventure, Casual",2015-05-07,68,2015
359230,Lethis - Path of Progress,19.99,EUR,"Indie, Simulation, Strategy",2015-06-25,65,2015
361990,Lakeview Cabin Collection,9.99,EUR,Indie,2015-04-09,70,2015
362890,Black Mesa,25.99,CAD,"Action, Adventure, Indie",2020-03-06,84,2020
362960,Tyranny,29.99,EUR,"Adventure, RPG",2016-11-10,80,2016
364390,Downfall,29.99,BRL,"Adventure, Indie",2016-02-15,75,2016
364920,Uncanny Valley Demo,0.0,,"Adventure, Indie",2015-04-20,67,2015
365160,Kona,28.99,BRL,"Adventure, Indie",2017-03-17,73,2017
365360,Battle Brothers,69.99,BRL,"RPG, Simulation, Strategy",2017-03-24,80,2017
365450,Hacknet,4.94,BRL,"Indie, Simulation",2015-08-12,82,2015
365480,Ravenmark: Scourge of Estellion,46.99,BRL,"RPG, Strategy",2015-09-10,75,2015
365660,OlliOlli2: Welcome to Olliwood,19.49,CAD,"Action, Indie, Sports",2015-08-11,82,2015
365770,Volume,36.99,BRL,"Action, Indie",2015-08-18,80,2015
365820,Company of Heroes 2 - The British Forces,38.99,BRL,Strategy,2015-09-02,80,2015
365890,Heroes of Normandie,88.99,BRL,Strategy,2015-10-01,65,2015
366320,Seasons after Fall,34.9,BRL,"Adventure, Indie",2016-09-02,75,2016
366480,Ceres Demo,0.0,,"Action, Indie, RPG, Strategy",2015-10-16,74,2015
366640,Shiness: The Lightning Kingdom,29.9,BRL,"Action, Adventure, Indie, RPG",2017-04-18,68,2017
366780,Magical Eyes - Red is for Anguish,46.99,BRL,"Adventure, Indie",2016-03-30,77,2016
366842,Call of Duty®: Black Ops III,329.9,BRL,"Action, Adventure",2015-11-05,73,2015
366870,Narcosis,28.99,BRL,"Adventure, Indie",2017-03-28,72,2017
366910,The Long Journey Home,32.99,BRL,"Indie, RPG, Simulation, Strategy",2017-05-30,68,2017
366970,Mighty Switch Force! Hyper Drive Edition,19.99,BRL,"Action, Indie",2015-06-25,85,2015
367520,Hollow Knight,19.49,CAD,"Action, Adventure, Indie",2017-02-24,87,2017
368500,Assassin's Creed® Syndicate,409000.0,IDR,"Action, Adventure",2015-11-18,74,2015
371140,Aegis Defenders,19.99,EUR,"Action, Adventure, Indie, RPG, Strategy",2018-02-08,76,2018
371660,Far Cry® Primal,349000.0,IDR,"Action, Adventure",2016-02-29,74,2016
373930,Sudden Strike 4,19.99,EUR,Strategy,2017-08-11,70,2017
374040,Portal Knights,2.99,EUR,"Action, Adventure, RPG",2017-05-18,72,2017
374190,Infernax,26.99,CAD,"Action, Adventure, Indie, RPG",2022-02-14,84,2022
375820,Human Resource Machine,15.5,BRL,"Casual, Indie, Simulation",2015-10-15,78,2015
375910,Anno 2205™,119.99,BRL,"Simulation, Strategy",2015-11-02,72,2015
375950,Viridi,0.0,,"Casual, Free To Play, Indie, Simulation",2015-08-19,46,2015
376140,SAGA,0.0,,"Indie, Massively Multiplayer, Strategy, Free To Play",2015-08-04,61,2015
376300,GUILTY GEAR Xrd -SIGN-,55.99,BRL,Action,2015-12-09,84,2015
376450,Last Days of Old Earth,73.99,BRL,Strategy,2016-06-07,66,2016
376520,Kelvin and the Infamous Machine,32.99,BRL,"Adventure, Indie",2016-07-21,79,2016
376570,WildStar,0.0,,"Free To Play, Massively Multiplayer, RPG",2016-06-09,82,2016
377020,The Magic Circle Demo,0.0,,"Action, Adventure, Indie, Simulation, Strategy",2015-07-09,79,2015
377080,Hatoful Boyfriend: Holiday Star,19.99,BRL,"Adventure, Indie",2015-12-05,54,2015
377160,Fallout 4,59.99,BRL,RPG,2015-11-09,84,2015
377300,Thunder Tier One,0.0,,"Action, Simulation, Free To Play",2021-12-07,65,2021
377470,ENKI,10.89,BRL,"Adventure, Indie",2015-07-31,43,2015
377480,N.E.R.O.: Nothing Ever Remains Obscure,16.99,BRL,"Adventure, Indie",2016-04-29,59,2016
377840,FINAL FANTASY IX,15.79,BRL,RPG,2016-04-14,84,2016
377860,Mushihimesama,59.99,BRL,Action,2015-11-12,86,2015
377870,DARIUSBURST Chronicle Saviours,134.99,BRL,Action,2015-12-03,80,2015
383870,Firewatch,25.99,CAD,"Adventure, Indie",2016-02-09,81,2016
386620,"Cook, Serve, Delicious! 2!!",25.99,BRL,"Action, Indie, Simulation, Strategy",2017-09-13,62,2017
387010,FIVE: Guardians of David,19.99,BRL,"Action, Adventure, RPG",2015-11-24,66,2015
387290,Ori and the Blind Forest: Definitive Edition,99.0,BRL,Action,2016-04-27,88,2016
387380,Sylvio Demo,0.0,,"Adventure, Indie",2015-07-16,60,2015
388060,The Escapists: The Walking Dead,9.19,BRL,"Indie, Strategy",2015-09-30,66,2015
388090,Five Nights at Freddy's 4,16.59,BRL,"Action, Indie, Strategy",2015-07-23,51,2015
388210,Day of the Tentacle Remastered,27.99,BRL,Adventure,2016-03-21,86,2016
388320,1979 Revolution: Black Friday,20.69,BRL,"Action, Adventure, Indie",2016-04-04,80,2016
388420,In Between,23.99,BRL,Indie,2015-08-21,68,2015
388520,Call of Duty®: Black Ops III,329.9,BRL,"Action, Adventure",2015-11-05,73,2015
388880,Oxenfree,12.99,CAD,"Adventure, Indie",2016-01-14,80,2016
389140,Horizon Chase Turbo,49.99,BRL,"Action, Casual, Indie, Racing, Sports",2018-05-15,76,2018
391220,Rise of the Tomb Raider™,2.99,USD,"Action, Adventure",2016-02-09,86,2016
392110,ENDLESS™ Space 2,39.99,EUR,Strategy,2017-05-18,80,2017
393520,Iconoclasts,19.5,EUR,"Action, Adventure, Indie",2018-01-23,87,2018
397340,SimplePlanes,41.99,BRL,"Indie, Simulation",2015-12-17,69,2015
397350,Lords of the Realm II,10.49,BRL,"RPG, Strategy",2015-12-03,77,2015
397540,Borderlands 3,119.9,BRL,"Action, RPG",2020-03-13,81,2020
397550,Deus Ex: Revision,0.0,,"Action, Adventure, RPG",2015-10-13,90,2015
397950,Clustertruck,46.99,BRL,"Action, Indie",2016-09-27,76,2016
398180,Euclidean,10.49,BRL,"Action, Casual, Indie",2015-09-25,62,2015
398640,Bowl Bound College Football,59.99,BRL,"Simulation, Sports, Strategy",2015-09-03,80,2015
398850,Epistory - Typing Chronicles,14.99,EUR,"Action, Adventure, Indie",2016-03-30,74,2016
398860,STASIS Deluxe Edition Upgrade,6.99,BRL,Adventure,2015-09-21,79,2015
400110,Else Heart.Break(),73.99,BRL,"Adventure, Indie, RPG",2015-09-24,79,2015
400160,Concrete Jungle,23.5,BRL,"Indie, Strategy",2015-09-23,76,2015
400170,The Incredible Adventures of Van Helsing: Final Cut,121.99,BRL,"Action, Adventure, Indie, RPG",2015-11-06,79,2015
400180,Okhlos: Omega,41.99,BRL,"Action, Indie, Strategy",2016-08-18,69,2016
403640,Dishonored 2,29.99,USD,Action,2016-11-11,86,2016
404012,Total War: WARHAMMER - Call of the Beastmen,66.99,PLN,"Action, Strategy",2016-07-28,72,2016
406720,Alekhine's Gun,46.99,BRL,"Action, Adventure",2016-03-11,40,2016
406850,Crush Your Enemies,32.99,BRL,"Action, Indie, Strategy",2016-07-13,63,2016
407040,2064: Read Only Memories Demo,0.0,,"Adventure, Indie",2015-10-05,80,2015
407810,Hard Reset Redux,5.99,BRL,"Action, Adventure",2016-06-03,73,2016
408120,Cibele,29.99,BRL,Indie,2015-11-02,71,2015
408250,Eagle Flight,59.99,BRL,"Action, Simulation",2016-12-20,74,2016
408400,Swords and Sorcery - Underworld - Definitive Edition,20.69,BRL,"Adventure, Indie, RPG",2015-12-15,66,2015
408520,FORM,27.99,BRL,"Adventure, Casual, Indie",2017-06-01,81,2017
408530,FORM - Episode 1 Demo,0.0,,"Adventure, Casual, Indie",2017-12-05,81,2017
408640,Code of Princess,46.99,BRL,"Action, Adventure, RPG",2016-04-14,53,2016
408760,Pro Cycling Manager 2016,29.9,BRL,"Simulation, Sports",2016-06-16,64,2016
408920,Krai Mira: post-apocalyptic Crimea,20.69,BRL,"Adventure, Indie, RPG",2016-07-11,50,2016
408960,Zombasite,59.99,BRL,"Action, Indie, RPG",2016-08-23,66,2016
411300,ELEX,7.49,USD,"Action, Adventure, RPG",2017-10-17,67,2017
412830,STEINS;GATE,33.99,CAD,Adventure,2016-09-08,87,2016
413150,Stardew Valley,14.99,USD,"Indie, RPG, Simulation",2016-02-26,89,2016
413410,Danganronpa: Trigger Happy Havoc,19.99,EUR,Adventure,2016-02-18,82,2016
417290,Ghost of a Tale,59.99,BRL,"Action, Adventure, Indie, RPG",2018-03-13,75,2018
417880,Everybody's Gone to the Rapture,74.9,BRL,"Adventure, Casual, Indie",2016-04-14,76,2016
418180,Tempest: Pirate Action RPG,16.44,BRL,"Action, Indie, RPG",2016-08-22,60,2016
418240,Shadow Tactics: Blades of the Shogun,49.99,CAD,"Indie, Strategy",2016-12-06,85,2016
418250,Polaris Sector,107.99,BRL,"Simulation, Strategy",2016-03-22,76,2016
418370,Resident Evil 7 Biohazard,35.6,BRL,"Action, Adventure",2017-01-23,83,2017
418530,Spelunky 2,37.99,BRL,"Action, Indie",2020-09-29,91,2020
419060,Chaos Reborn Demo,0.0,,"Indie, Strategy",2015-11-20,85,2015
419460,"That Dragon, Cancer",19.99,BRL,"Adventure, Indie",2016-01-11,78,2016
419480,Starpoint Gemini Warlords,81.5,BRL,"Action, RPG, Simulation, Strategy",2017-05-23,73,2017
420060,Candle,2.54,BRL,"Adventure, Indie",2016-11-11,80,2016
420610,Cities: Skylines - Snowfall,12.99,EUR,"Simulation, Strategy",2016-02-18,72,2016
424840,Little Nightmares,19.99,EUR,Adventure,2017-04-27,81,2017
427520,Factorio,35.0,USD,"Casual, Indie, Simulation, Strategy",2020-08-14,90,2020
429530,Falcon 4.0,46.99,BRL,Simulation,2016-01-08,85,2016
429630,Wuppo Demo,0.0,,"Action, Adventure, Indie, RPG",2016-08-29,78,2016
429660,Tales of Berseria™,49.99,USD,"Action, RPG",2017-01-26,80,2017
429680,Spellweaver,0.0,,"Free To Play, Indie, Massively Multiplayer, Strategy",2016-02-01,63,2016
430410,Memoranda,27.99,BRL,"Adventure, Indie",2017-01-25,58,2017
431250,Mushroom Wars,19.99,BRL,"Action, Indie, Strategy",2016-04-07,80,2016
431650,Phoning Home,0.0,,"Action, Adventure, Indie",2017-02-07,61,2017
433340,Slime Rancher,0.89,USD,"Action, Adventure, Indie, Simulation",2017-08-01,81,2017
433850,Z1 Battle Royale,0.0,,"Action, Adventure, Free To Play, Massively Multiplayer",2018-02-28,70,2018
440550,Atomik: RunGunJumpGun,26.49,BRL,"Action, Indie",2016-08-31,82,2016
440880,The Count Lucanor,29.99,BRL,"Adventure, Indie, RPG",2016-03-03,78,2016
441680,Obscuritas,75.0,BRL,Adventure,2016-03-17,63,2016
441960,American Truck Simulator Demo,0.0,,"Indie, Simulation",2016-02-09,76,2016
441990,Cobalt Demo,0.0,,"Action, Adventure, Indie",2016-03-11,69,2016
442120,Pinball FX3,0.0,,Simulation,2017-09-26,89,2017
449610,Monster Boy and the Cursed Kingdom,38.99,CAD,"Action, Adventure, Indie",2019-07-25,82,2019
451310,A Fold Apart,32.99,BRL,"Adventure, Indie, Strategy",2020-04-16,77,2020
451380,The Darkside Detective Demo,0.0,,Adventure,2016-06-30,77,2016
451570,Demetrios - The BIG Cynical Adventure,19.99,BRL,"Adventure, Casual, Indie",2016-05-31,72,2016
452280,Factorio Demo,0.0,,"Casual, Indie, Simulation, Strategy",2016-03-24,90,2016
452340,Ian's Eyes,0.0,,"Adventure, Indie",2016-09-01,36,2016
452410,Damsel,17.99,BRL,"Action, Indie",2018-10-19,65,2018
452420,Koihime Enbu,16.99,BRL,Action,2016-05-19,68,2016
452530,Sunless Sea - Zubmariner,21.99,BRL,"Adventure, Indie, RPG",2016-10-11,78,2016
452570,Battle Chef Brigade Deluxe,37.99,BRL,"Action, Adventure, Indie, RPG",2017-11-20,80,2017
453020,Hyper Light Drifter Original Soundtrack,10.49,BRL,"Action, RPG",2016-04-12,84,2016
453090,Parkitect,88.99,BRL,"Casual, Indie, Simulation, Strategy",2018-11-29,83,2018
453310,Blackwood Crossing,29.99,BRL,"Adventure, Indie",2017-04-04,70,2017
454160,Dark Fear,8.39,BRL,"Adventure, Indie, RPG",2016-06-22,66,2016
456670,Hand of Fate 2,29.99,CAD,"Action, Indie, RPG",2017-11-07,80,2017
462770,Pyre,59.99,BRL,"Action, Indie, RPG",2017-07-25,82,2017
463170,Jagged Alliance: Rage!,64.99,BRL,"Adventure, RPG, Simulation, Strategy",2018-12-06,59,2018
464060,RUINER,59.99,BRL,"Action, Indie",2017-09-26,75,2017
464150,Regalia: Of Men and Monarchs,37.99,BRL,"Indie, RPG, Simulation, Strategy",2017-05-18,73,2017
464880,Stars in Shadow,11.09,BRL,"Indie, Strategy",2017-01-19,75,2017
464920,Surviving Mars,107.99,BRL,"Simulation, Strategy",2018-03-15,76,2018
466560,Northgard,4.79,USD,"Adventure, Indie, Simulation, Strategy",2018-03-07,81,2018
477160,Human Fall Flat,11.39,BRL,"Adventure, Casual, Indie, Simulation",2016-07-22,70,2016
477740,Zero Escape: The Nonary Games,24.99,EUR,Adventure,2017-03-24,86,2017
477770,Ride 2,124.5,BRL,"Racing, Simulation, Sports",2016-10-07,67,2016
479060,WildStar: Captain's Pack,0.0,,"Massively Multiplayer, RPG",2016-06-23,82,2016
479061,WildStar: Cute & Cuddly Pack,0.0,,"Massively Multiplayer, RPG",2016-06-23,82,2016
479110,Hunter's Legacy,13.99,BRL,"Action, Adventure, Indie",2016-07-19,58,2016
480430,Hide and Shriek,0.0,,"Action, Free To Play",2017-10-19,68,2017
480470,Blacksea Odyssey Demo,0.0,,"Action, Free To Play, Indie",2016-05-25,74,2016
481110,The Bunker,7.04,BRL,"Adventure, Indie",2016-09-20,57,2016
481510,Night in the Woods,59.99,BRL,Adventure,2017-02-21,88,2017
482370,Hunter's Legacy Demo,0.0,,"Action, Adventure, Indie",2016-06-03,58,2016
482450,Nitroplus Blasterz: Heroines Infinite Duel,37.99,BRL,Action,2016-12-08,63,2016
484900,Aven Colony,31.98,BRL,"Indie, Simulation, Strategy",2017-07-25,65,2017
489830,The Elder Scrolls V: Skyrim Special Edition,53.49,CAD,RPG,2016-10-27,74,2016
493180,Dynasty Feud,0.0,,"Action, Indie",2017-05-23,68,2017
493200,RiME,55.99,BRL,Adventure,2017-05-26,78,2017
493340,Planet Coaster,81.99,BRL,"Action, Adventure, Casual, Simulation, Strategy",2016-11-17,84,2016
493520,GTFO,44.99,CAD,Action,2021-12-09,78,2021
493530,Layers of Fear: Inheritance,10.49,BRL,"Adventure, Indie",2016-08-02,70,2016
493540,Figment,36.99,BRL,"Action, Adventure, Casual, Indie",2017-09-22,77,2017
493840,Marvel vs. Capcom: Infinite,33.8,BRL,Action,2017-09-19,69,2017
493860,The Silver Case Demo,0.0,,"Adventure, Free To Play",2016-08-08,64,2016
493900,Dungeons 3,139.0,BRL,"Simulation, Strategy",2017-10-13,75,2017
494100,ENIGMA:,23.49,BRL,"Adventure, Indie",2016-11-15,56,2016
494170,Miniature Garden,59.99,BRL,"Adventure, Casual, Indie",2017-03-30,66,2017
494340,Don't Knock Twice Demo,0.0,,Action,2016-10-24,56,2016
494670,TransRoad: USA,59.99,BRL,"Casual, Simulation, Strategy",2017-11-09,53,2017
503400,Four Last Things,29.99,BRL,"Adventure, Indie",2017-02-23,83,2017
503560,911 Operator,27.99,BRL,"Casual, Indie, Simulation, Strategy",2017-02-24,68,2017
503620,Fictorum,20.69,BRL,"Action, Indie, RPG",2017-08-09,64,2017
503810,Ian's Eyes Demo,0.0,,"Adventure, Indie",2016-07-20,36,2016
503940,Railway Empire,139.0,BRL,"Simulation, Strategy",2018-01-26,74,2018
504230,Celeste,59.99,BRL,"Action, Adventure, Indie",2018-01-25,88,2018
504370,Battlerite,0.0,,"Action, Free To Play",2017-11-08,85,2017
504920,39 Days to Mars,40.19,BRL,"Adventure, Indie",2018-04-25,71,2018
505330,Apocalipsis,23.5,BRL,"Adventure, Casual, Indie",2018-02-28,73,2018
505640,Antihero,46.99,BRL,"Indie, Strategy",2017-07-10,81,2017
505740,Eximius: Seize the Frontline,59.99,BRL,"Action, Strategy",2021-03-16,53,2021
506510,Shadows of Adam,27.99,BRL,"Indie, RPG",2017-02-23,78,2017
506610,Five Nights at Freddy's: Sister Location,16.59,BRL,"Action, Indie, Simulation",2016-10-07,62,2016
506900,Downward: Enhanced Edition,17.99,BRL,"Adventure, Indie",2017-07-13,77,2017
514080,Deadly Dozen,19.99,BRL,"Action, Adventure, Casual, Simulation, Sports, Strategy",2017-01-26,56,2017
514140,Elite Warriors: Vietnam,19.99,BRL,Action,2017-02-02,46,2017
514150,Line of Sight: Vietnam,19.99,BRL,Action,2016-12-01,68,2016
514310,SENRAN KAGURA Bon Appétit! - Full Course,37.99,BRL,Casual,2016-11-10,62,2016
514340,Aliens Go Home Run,8.39,BRL,"Action, Indie",2017-01-27,84,2017
515180,Bus Simulator 18,73.99,BRL,Simulation,2018-06-13,67,2018
515960,Martha Is Dead,57.99,BRL,"Adventure, Indie",2022-02-24,73,2022
516110,ToeJam & Earl: Back in the Groove!,28.99,BRL,"Adventure, Casual, Indie",2019-02-28,76,2019
516580,DYSTORIA,37.99,BRL,"Action, Casual, Indie, Racing, Strategy",2017-02-20,72,2017
517630,Just Cause 4 Reloaded,0.0,,"Action, Adventure",2018-12-04,68,2018
519860,DUSK,8.49,CAD,"Action, Indie",2018-12-10,88,2018
523210,A Normal Lost Phone,7.99,BRL,"Casual, Indie",2017-01-26,71,2017
523650,Lust for Darkness,27.99,BRL,"Adventure, Indie",2018-06-12,50,2018
523780,Emily is Away Too,10.49,BRL,"Adventure, Casual, Indie, RPG, Simulation",2017-05-26,81,2017
524220,NieR:Automata™,18.72,CAD,"Action, RPG",2017-03-17,84,2017
526870,Satisfactory,42000.0,KRW,"Adventure, Indie, Simulation, Strategy",2024-09-10,91,2024
531180,AIRHEART - Tales of broken Wings,27.99,BRL,"Action, Indie",2018-07-23,62,2018
531210,Unbox Demo,0.0,,"Action, Adventure, Indie",2016-09-21,68,2016
532110,Rusty Lake: Roots,13.79,BRL,"Adventure, Indie",2016-10-20,75,2016
532270,Lethal VR,26.9,BRL,"Action, Simulation",2016-11-08,66,2016
532290,Dark Train,20.69,BRL,"Adventure, Indie",2016-10-25,77,2016
532840,CAYNE,0.0,,"Adventure, Indie, Free To Play",2017-01-24,75,2017
540210,Redie Demo,0.0,,"Violent, Gore, Action, Indie",2016-12-01,79,2016
541310,Tiny Thor,59.99,BRL,"Action, Adventure, Indie",2023-06-05,75,2023
542050,Forgotton Anne,37.99,BRL,"Action, Adventure, Casual, Indie",2018-05-15,76,2018
542810,Dex Demo,0.0,,"Violent, Action, Adventure, Indie, RPG",2017-03-30,62,2017
543010,Bush Hockey League,23.99,BRL,"Violent, Sports",2017-03-28,48,2017
543080,Orwell Demo,0.0,,"Adventure, Indie, Simulation",2016-10-20,77,2016
548430,Deep Rock Galactic,29.99,EUR,Action,2020-05-13,85,2020
548570,RAGE 2,39.99,EUR,Action,2019-05-13,73,2019
551700,Gunheart,10.49,BRL,"Action, Indie",2018-06-04,83,2018
551730,Toukiden 2,34.97,BRL,Action,2017-03-21,73,2017
551770,ECHO,45.99,BRL,"Action, Adventure, Indie",2017-09-19,72,2017
552500,Warhammer: Vermintide 2,88.99,BRL,"Action, Indie, RPG",2018-03-08,82,2018
552590,The Sexy Brutale,36.99,BRL,"Adventure, Indie",2017-04-11,83,2017
552620,ATOM RPG: Post-apocalyptic indie game,46.99,BRL,RPG,2018-12-19,70,2018
552990,World of Warships,0.0,,"Action, Massively Multiplayer, Simulation, Strategy, Free To Play",2017-11-15,81,2017
557340,My Friend Pedro,25.99,CAD,"Action, Indie",2019-06-20,81,2019
560130,Pillars of Eternity II: Deadfire,74.0,BRL,RPG,2018-05-08,88,2018
562040,Men of War: Assault Squad 2,88.99,BRL,"Action, Simulation, Strategy",2014-05-15,68,2014
562500,Warstone TD,7.24,BRL,"Indie, Strategy",2018-05-23,70,2018
570710,Extinction,57.99,BRL,"Action, Adventure",2018-04-09,51,2018
570940,DARK SOULS™: REMASTERED,24.99,USD,Action,2018-05-23,84,2018
571310,SteamWorld Dig 2,37.99,BRL,"Action, Adventure, Indie",2017-09-22,85,2017
571480,Scrap Garden Demo,0.0,,"Action, Adventure, Indie",2016-12-20,58,2016
571880,Angels with Scaly Wings™ / 鱗羽の天使,29.99,BRL,"Adventure, Indie, RPG, Simulation",2017-01-31,67,2017
572050,Call to Power II,32.9,BRL,Strategy,2017-04-18,72,2017
572410,Steel Division: Normandy 44,71.99,BRL,"Action, Simulation, Strategy",2017-05-23,83,2017
572430,Party Hard 2,59.99,BRL,"Action, Adventure, Indie, Simulation, Strategy",2018-10-25,74,2018
572740,Nancy Drew®: The Secret of Shadow Ranch,20.69,BRL,Adventure,2017-01-09,68,2017
572890,Pikuniku,16.99,CAD,"Action, Adventure, Casual, Indie",2019-01-24,74,2019
573100,Battlefleet Gothic: Armada 2,74.9,BRL,Strategy,2019-01-24,77,2019
573120,Dead In Vinland,59.99,BRL,"Adventure, Indie, RPG, Simulation, Strategy",2018-04-12,74,2018
573130,Aporia: Beyond The Valley,31.99,BRL,"Adventure, Indie",2017-07-19,71,2017
573410,AI War 2,14.99,BRL,"Indie, Simulation, Strategy",2019-10-22,75,2019
581270,Old Man's Journey,17.99,BRL,"Adventure, Casual, Indie",2017-05-17,76,2017
581320,Insurgency: Sandstorm,99.9,BRL,Action,2018-12-12,78,2018
581660,Super Meat Boy Forever,37.99,BRL,"Action, Adventure, Indie",2022-01-10,70,2022
582010,Monster Hunter: World,42.57,BRL,Action,2018-08-08,88,2018
582270,Everything,27.99,BRL,"Casual, Indie, RPG, Simulation",2017-04-21,78,2017
582660,Black Desert,17.46,BRL,"Action, Adventure, Massively Multiplayer, RPG, Strategy",2017-11-15,80,2017
584400,Sonic Mania,26.99,CAD,"Action, Adventure, Casual",2017-08-29,84,2017
590380,Into the Breach,28.99,BRL,"Indie, RPG, Simulation, Strategy",2018-02-27,90,2018
590690,Sprint Vector,55.99,BRL,"Action, Indie, Racing, Sports",2018-02-08,84,2018
591460,Parkasaurus,73.99,BRL,"Simulation, Strategy",2020-08-12,70,2020
591630,Candleman: The Complete Journey,28.99,BRL,"Action, Adventure, Indie, RPG",2018-01-31,76,2018
591750,Solo,28.99,BRL,"Adventure, Indie",2018-04-26,77,2018
592480,Knights And Bikes,11.39,CAD,"Action, Adventure, Indie",2019-08-26,79,2019
592580,PRO EVOLUTION SOCCER 2018,0.0,,Sports,2017-09-13,81,2017
594650,Hunt: Showdown 1896,17.99,CAD,Action,2019-08-27,81,2019
597760,Yuppie Psycho: Executive Edition,16.19,EUR,"Adventure, Indie",2019-04-25,81,2019
599140,Graveyard Keeper,25.0,HKD,"Adventure, Indie, RPG, Simulation",2018-08-15,69,2018
600130,Valfaris,9.49,BRL,"Action, Indie",2019-10-10,86,2019
600990,The Gardens Between,47.99,BRL,"Adventure, Indie",2018-09-19,80,2018
601430,The Evil Within 2,155.0,BRL,"Action, Adventure",2017-10-12,80,2017
601840,Griftlands,37.99,BRL,Indie,2021-06-01,84,2021
